Shipment_ID,Weight_kg,Volume_m3,Pickup_Latitude,Pickup_Longitude,Delivery_Latitude,Delivery_Longitude,Delivery_Priority,Vehicle_Capacity_kg,Vehicle_Capacity_m3,Fuel_Cost_per_km,Vehicle_Type,Distance_km,Estimated_Travel_Time_h,Route_Type,Fuel_Cost_per_km,Fixed_Cost_per_Shipment,Variable_Cost_per_km,Delivery_Deadline,Special_Requirements,Urgency_Level,Packaging_Type,Border_Crossing_Fee,Weather_Impact,Region
ID_52,157,30.91,-47.741356,66.383847,-38.271779,-98.104939,High,20000,150,0.15,Ship,464,9.28,Urban,0.15,300,0.28,2025-03-09 05:09:10,True,High,Perishable,0.0,Snow,Africa
ID_53,1545,21.59,-46.044462,-31.66137,32.724067,-115.179521,High,500,5,0.2,Small Van,709,13.02,Intercontinental,0.2,206,0.9,2025-03-22 23:40:37,True,High,Perishable,0.0,Fog,Europe
ID_54,2741,0.57,54.833954,144.435392,31.969959,-123.128776,Medium,5000,50,1.0,Large Truck,716,13.02,Mountainous,1.0,200,0.44,2025-04-04 17:06:00,False,High,Perishable,28.53,Fog,Europe
ID_55,1480,28.78,88.684568,-73.716929,86.030007,56.962734,Medium,500,5,0.2,Small Van,942,12.33,Urban,0.2,194,0.89,2025-03-18 18:58:44,False,High,Standard,37.52,Rain,Africa
ID_56,1036,33.92,39.767108,57.305355,60.900681,46.169317,Low,500,5,0.2,Small Van,603,9.74,Urban,0.2,129,0.83,2025-03-01 01:21:20,True,Medium,Perishable,0.0,Rain,Africa
ID_57,551,39.35,67.762907,-48.291289,0.323057,-81.890154,High,5000,50,1.0,Large Truck,1000,11.31,Mountainous,1.0,283,0.86,2025-03-30 22:03:15,False,High,Perishable,31.26,Rain,South America
ID_58,2976,33.75,-18.465931,124.468013,10.316271,-147.490965,Medium,500,5,0.2,Small Van,387,4.82,Mountainous,0.2,117,0.63,2025-03-27 07:35:00,False,Low,Perishable,95.22,Clear,Australia
ID_59,967,23.63,21.518436,159.540889,-30.958869,39.629591,Low,500,5,0.2,Small Van,674,10.45,Highway,0.2,212,0.86,2025-03-01 11:06:06,True,High,Perishable,29.29,Rain,Australia
ID_60,565,19.49,-23.217927,161.777077,35.367118,14.469298,Low,2000,20,0.5,Medium Truck,863,12.44,Urban,0.5,276,0.53,2025-03-14 11:44:21,False,High,Standard,0.0,Fog,Africa
ID_61,977,42.79,-72.116168,66.844896,8.003855,172.023311,Medium,500,5,0.2,Small Van,981,10.79,Urban,0.2,151,0.42,2025-03-16 18:02:01,True,Low,Fragile,0.0,Wind,Asia
ID_62,217,39.36,-46.157599,-134.667401,11.624036,-155.300345,Low,2000,20,0.5,Medium Truck,346,4.0,Rural,0.5,200,0.37,2025-04-01 23:05:10,True,Medium,Fragile,0.0,Rain,North America
ID_63,1036,39.95,-70.213257,131.92124,-66.275419,-51.032779,High,10000,80,1.5,Plane,63,1.32,Highway,1.5,132,0.21,2025-03-15 02:42:15,True,Low,Fragile,0.0,Snow,Africa
ID_64,2441,5.54,0.690964,160.349631,-82.194293,101.961719,Low,10000,80,1.5,Plane,72,0.72,Urban,1.5,127,0.57,2025-04-04 19:25:26,False,Medium,Standard,0.0,Fog,Africa
ID_65,340,16.17,-63.299911,-134.571028,22.377149,30.731288,Low,5000,50,1.0,Large Truck,311,4.63,Intercontinental,1.0,147,1.0,2025-03-24 01:37:23,False,High,Standard,0.0,Clear,North America
ID_66,2676,43.9,9.240341,131.577234,-12.587411,139.712768,Medium,5000,50,1.0,Large Truck,757,16.56,Mountainous,1.0,261,0.56,2025-03-15 09:27:56,False,Low,Perishable,0.0,Rain,Australia
ID_67,1952,3.45,59.71894,-146.437163,-72.618402,85.966559,High,10000,80,1.5,Plane,585,9.79,Intercontinental,1.5,65,0.67,2025-02-28 14:39:34,False,Medium,Standard,53.83,Clear,Australia
ID_68,2469,15.69,-71.351898,2.668517,-62.148568,-6.411817,High,5000,50,1.0,Large Truck,790,13.93,Urban,1.0,266,0.65,2025-03-05 15:44:38,False,Low,Standard,0.0,Wind,Europe
ID_69,2504,46.46,59.302942,-83.718819,-57.525107,72.971558,Medium,5000,50,1.0,Large Truck,589,7.41,Rural,1.0,139,0.2,2025-02-26 01:19:21,True,Low,Standard,0.0,Clear,North America
ID_70,2182,10.84,-14.430151,-57.277447,-23.390443,79.774548,Low,10000,80,1.5,Plane,171,2.01,Rural,1.5,71,0.91,2025-02-25 02:13:38,True,Medium,Perishable,0.0,Fog,North America
ID_71,2496,22.16,-40.829968,91.779532,-69.512849,-25.231092,Medium,10000,80,1.5,Plane,56,1.05,Highway,1.5,174,0.62,2025-03-23 18:30:50,True,High,Fragile,0.0,Rain,Asia
ID_72,1056,14.54,-68.402818,-0.941282,-12.482098,-133.493147,Low,2000,20,0.5,Medium Truck,83,1.3,Highway,0.5,178,0.65,2025-03-30 16:47:25,True,Medium,Fragile,0.0,Clear,South America
ID_73,2368,21.52,-17.203881,50.451001,-37.887263,-34.188369,Medium,2000,20,0.5,Medium Truck,861,10.58,Mountainous,0.5,255,0.96,2025-03-12 05:50:19,True,Medium,Fragile,0.0,Wind,Europe
ID_74,2156,4.02,66.694395,88.489738,-50.117029,100.482433,High,10000,80,1.5,Plane,208,2.2,Intercontinental,1.5,212,0.29,2025-03-11 15:18:05,False,Low,Standard,38.9,Rain,Asia
ID_75,818,8.76,-62.483438,93.294857,-76.436411,162.465171,Low,20000,150,0.15,Ship,469,5.8,Intercontinental,0.15,168,0.8,2025-03-22 01:55:49,False,Low,Perishable,0.0,Clear,Europe
ID_76,1821,31.61,53.339342,32.911112,-26.6504,-153.291364,Medium,20000,150,0.15,Ship,88,1.12,Highway,0.15,59,0.25,2025-04-05 04:44:19,True,Low,Standard,0.0,Fog,Asia
ID_77,2280,47.72,43.005788,-165.231823,73.628992,25.796407,High,5000,50,1.0,Large Truck,990,22.65,Rural,1.0,204,0.58,2025-02-27 16:50:17,False,Low,Fragile,0.0,Rain,Africa
ID_78,1024,35.41,88.377484,8.664679,19.764973,-48.996735,Medium,20000,150,0.15,Ship,63,0.72,Intercontinental,0.15,154,0.82,2025-03-26 02:24:54,False,High,Perishable,0.0,Clear,North America
ID_79,2788,19.39,-44.640759,126.563854,83.593805,36.972293,High,5000,50,1.0,Large Truck,948,15.54,Rural,1.0,70,0.67,2025-03-26 12:36:31,False,High,Standard,0.0,Clear,Africa
ID_80,2299,18.9,52.499152,112.746522,30.620952,118.42523,Low,10000,80,1.5,Plane,530,8.59,Mountainous,1.5,73,0.72,2025-03-12 06:42:23,False,High,Fragile,0.0,Fog,Europe
ID_81,937,50.0,-62.109869,-73.514843,51.861631,2.768297,Low,10000,80,1.5,Plane,144,1.9,Intercontinental,1.5,59,0.73,2025-03-02 03:58:01,True,High,Standard,0.0,Rain,South America
ID_82,1802,2.28,-24.426105,79.050843,84.525949,39.814352,Low,20000,150,0.15,Ship,998,11.27,Highway,0.15,109,0.63,2025-03-17 10:41:33,True,Medium,Standard,98.76,Fog,Australia
ID_83,1574,25.2,-14.641051,-121.659058,-54.054408,37.678841,Medium,500,5,0.2,Small Van,577,6.01,Highway,0.2,214,0.58,2025-03-29 05:05:30,True,Medium,Fragile,0.0,Snow,Europe
ID_84,2112,7.45,-11.254939,160.708775,-50.033159,-17.593924,Medium,500,5,0.2,Small Van,392,7.24,Intercontinental,0.2,156,0.24,2025-02-26 15:19:37,False,High,Fragile,0.0,Clear,Asia
ID_85,2672,16.83,-63.711125,-166.210851,75.131311,-9.916224,High,20000,150,0.15,Ship,29,0.52,Urban,0.15,164,0.69,2025-04-04 05:03:08,True,Low,Standard,0.0,Fog,Australia
ID_86,1190,11.96,-68.067298,-94.161779,25.011312,44.211805,High,500,5,0.2,Small Van,558,13.61,Intercontinental,0.2,264,0.92,2025-03-19 16:42:21,True,Low,Fragile,0.0,Snow,North America
ID_87,16,30.78,-46.698437,-30.035666,29.586834,-149.178976,Medium,500,5,0.2,Small Van,815,8.21,Intercontinental,0.2,294,0.62,2025-03-21 13:53:00,True,Medium,Perishable,0.0,Fog,Asia
ID_88,1048,37.39,-25.723102,-155.678559,-46.597334,56.557584,High,10000,80,1.5,Plane,55,0.9,Rural,1.5,238,0.81,2025-03-11 02:41:09,True,Low,Perishable,58.28,Rain,Europe
ID_89,268,35.83,79.848927,-166.685836,-53.713621,104.799317,High,5000,50,1.0,Large Truck,844,11.63,Mountainous,1.0,288,0.45,2025-03-06 23:22:53,True,Low,Fragile,0.0,Clear,South America
ID_90,1369,13.73,53.881634,-22.697502,-17.996081,-21.694812,Medium,5000,50,1.0,Large Truck,386,4.04,Mountainous,1.0,299,0.35,2025-03-19 21:14:59,False,High,Standard,0.0,Fog,Australia
ID_91,749,27.32,-32.181943,-151.175192,28.96546,-69.661492,Low,20000,150,0.15,Ship,467,10.98,Highway,0.15,92,0.75,2025-03-11 19:00:39,False,Medium,Standard,95.83,Clear,Africa
ID_92,2621,20.37,2.355484,89.963274,-61.202389,-168.789377,Low,20000,150,0.15,Ship,807,10.25,Rural,0.15,58,0.3,2025-03-12 06:11:08,False,Low,Fragile,0.0,Fog,Australia
ID_93,1533,22.25,-76.160623,-130.429761,-23.949009,-66.821241,Medium,2000,20,0.5,Medium Truck,521,7.33,Rural,0.5,295,0.29,2025-03-21 22:38:45,True,Medium,Perishable,0.0,Rain,Europe
ID_94,1179,34.73,89.753192,-107.935797,-65.568885,-153.341266,High,20000,150,0.15,Ship,693,11.39,Highway,0.15,72,0.85,2025-02-25 19:54:33,False,Medium,Fragile,0.0,Rain,Africa
ID_95,2093,11.29,87.323858,105.143643,-47.387487,-2.152103,Medium,10000,80,1.5,Plane,142,1.85,Intercontinental,1.5,196,0.5,2025-02-26 20:41:52,True,Medium,Perishable,77.51,Wind,Europe
ID_96,1687,41.18,-76.724872,170.056703,25.620946,-18.009182,Low,10000,80,1.5,Plane,665,8.84,Intercontinental,1.5,138,0.3,2025-03-31 22:46:48,True,Medium,Standard,24.43,Clear,Asia
ID_97,636,15.28,-60.845947,156.505621,-49.415349,161.093929,Low,5000,50,1.0,Large Truck,660,6.78,Rural,1.0,266,0.26,2025-03-08 00:00:30,True,Low,Perishable,0.0,Clear,Africa
ID_98,2635,8.51,79.489258,-124.490064,28.571917,79.427797,Low,5000,50,1.0,Large Truck,855,9.31,Urban,1.0,265,0.94,2025-02-26 14:52:52,True,Low,Standard,0.0,Rain,Africa
ID_99,1716,30.94,-84.548538,140.038877,8.203947,51.086624,Medium,20000,150,0.15,Ship,314,4.67,Mountainous,0.15,112,0.84,2025-03-28 02:32:33,True,High,Perishable,0.0,Fog,Africa
ID_100,1403,30.37,-33.73515,78.610639,42.155956,129.879852,Medium,2000,20,0.5,Medium Truck,118,2.0,Intercontinental,0.5,244,0.5,2025-03-17 07:43:46,True,Medium,Perishable,0.0,Clear,South America
ID_101,1198,47.27,65.549493,-29.471492,83.283453,144.831898,Medium,10000,80,1.5,Plane,520,5.21,Rural,1.5,234,0.45,2025-03-17 08:07:43,False,Medium,Perishable,0.0,Clear,North America
ID_102,1620,25.32,84.003593,-102.548008,-26.478884,-161.805454,Medium,10000,80,1.5,Plane,302,4.18,Mountainous,1.5,275,0.87,2025-04-04 19:16:37,True,Medium,Fragile,0.0,Snow,North America
ID_103,1508,38.22,-24.131277,-35.790616,12.650696,-109.924091,Low,5000,50,1.0,Large Truck,792,10.85,Mountainous,1.0,68,0.51,2025-04-03 17:48:25,True,High,Fragile,0.0,Snow,Australia
ID_104,1507,37.77,-54.169581,3.284106,0.014023,-163.690793,High,5000,50,1.0,Large Truck,162,2.12,Mountainous,1.0,255,0.58,2025-03-19 16:51:26,True,Medium,Standard,0.0,Fog,Africa
ID_105,1235,29.73,1.316698,3.497076,-1.827603,22.652734,Medium,500,5,0.2,Small Van,436,5.81,Urban,0.2,144,0.46,2025-04-02 08:32:10,True,Low,Perishable,0.0,Wind,Africa
ID_106,942,36.1,15.03419,-118.615658,23.224543,43.10489,Medium,2000,20,0.5,Medium Truck,596,6.15,Urban,0.5,260,0.74,2025-02-28 00:17:14,True,High,Perishable,0.0,Rain,Africa
ID_107,2838,10.27,0.327511,40.132102,-5.111017,125.415718,Low,500,5,0.2,Small Van,584,9.81,Rural,0.2,230,0.31,2025-03-26 19:47:59,False,Low,Perishable,0.0,Rain,Asia
ID_108,2193,17.18,-26.228342,97.916322,39.766421,51.591276,Low,5000,50,1.0,Large Truck,295,4.01,Rural,1.0,206,0.59,2025-03-05 14:14:19,False,Medium,Standard,0.0,Fog,Asia
ID_109,1975,17.51,78.066067,106.345928,-40.777643,-136.125322,Low,10000,80,1.5,Plane,848,13.97,Mountainous,1.5,147,0.92,2025-04-01 04:56:05,True,Medium,Fragile,0.0,Clear,Europe
ID_110,1821,32.83,44.52093,-102.964749,59.031307,-82.39222,Low,5000,50,1.0,Large Truck,255,4.67,Intercontinental,1.0,85,0.29,2025-03-27 04:39:46,True,Low,Fragile,0.0,Fog,Europe
ID_111,2948,23.67,32.614558,-130.511868,83.613378,172.047856,High,20000,150,0.15,Ship,498,6.3,Mountainous,0.15,217,0.95,2025-03-31 08:56:59,False,Medium,Perishable,0.0,Clear,Europe
ID_112,2361,11.69,42.963574,126.119917,-83.286316,151.729517,Medium,2000,20,0.5,Medium Truck,816,11.7,Mountainous,0.5,289,0.94,2025-03-31 00:54:06,False,High,Fragile,0.0,Wind,Australia
ID_113,1382,14.3,88.037905,15.588174,-1.095764,157.881781,Low,20000,150,0.15,Ship,348,7.0,Urban,0.15,119,0.35,2025-03-16 22:55:25,False,Low,Fragile,0.0,Clear,North America
ID_114,1390,39.56,12.20062,92.62179,-58.410916,128.212742,Medium,20000,150,0.15,Ship,695,15.2,Mountainous,0.15,181,0.46,2025-03-01 12:04:27,False,Medium,Fragile,0.0,Fog,Australia
ID_115,1839,37.71,81.726268,-71.299498,40.118855,-175.883136,Low,5000,50,1.0,Large Truck,486,8.32,Urban,1.0,227,0.39,2025-03-14 08:35:39,False,Low,Fragile,0.0,Snow,South America
ID_116,2527,11.12,82.324897,-7.854516,-8.103839,175.981666,Medium,20000,150,0.15,Ship,785,10.86,Mountainous,0.15,229,0.64,2025-03-26 21:58:32,True,High,Standard,0.0,Clear,Europe
ID_117,1839,26.46,-24.878724,150.208094,-69.802418,118.358659,Low,2000,20,0.5,Medium Truck,345,3.78,Rural,0.5,196,0.63,2025-03-16 03:01:52,True,Low,Fragile,0.0,Fog,Africa
ID_118,2100,22.33,-79.985555,-132.500038,-15.223577,23.008027,Low,20000,150,0.15,Ship,415,7.51,Urban,0.15,222,0.85,2025-02-22 19:45:46,True,Low,Fragile,0.0,Clear,North America
ID_119,1421,35.05,7.409431,-158.307973,70.95932,175.009409,Medium,500,5,0.2,Small Van,794,10.12,Rural,0.2,123,0.53,2025-03-30 01:56:00,False,Medium,Perishable,0.0,Fog,Asia
ID_120,338,34.17,29.122657,14.148095,27.636138,-54.802841,High,10000,80,1.5,Plane,864,21.49,Rural,1.5,150,0.62,2025-02-23 18:44:17,False,Medium,Standard,0.0,Fog,Asia
ID_121,1563,41.19,-45.447833,-55.382495,-40.383049,157.46773,Low,500,5,0.2,Small Van,639,7.43,Mountainous,0.2,58,0.85,2025-02-23 10:28:42,True,High,Fragile,0.0,Clear,Africa
ID_122,2458,33.63,66.998235,-91.895706,-82.037389,-21.973388,Low,2000,20,0.5,Medium Truck,153,2.18,Urban,0.5,243,0.89,2025-03-08 17:15:57,True,Low,Standard,0.0,Wind,Asia
ID_123,1323,11.92,67.726498,174.850402,3.82519,-31.118326,Medium,500,5,0.2,Small Van,651,8.06,Rural,0.2,192,0.96,2025-03-21 15:51:45,False,High,Perishable,73.71,Wind,Australia
ID_124,2862,20.87,-63.140831,-44.474332,45.794898,-9.533225,High,5000,50,1.0,Large Truck,946,21.77,Mountainous,1.0,269,0.77,2025-03-14 17:03:13,False,Low,Standard,0.0,Rain,Europe
ID_125,842,16.58,-75.767322,-18.076743,-23.206051,12.828793,High,500,5,0.2,Small Van,627,14.8,Intercontinental,0.2,118,0.5,2025-02-26 05:02:58,True,Low,Standard,0.0,Rain,Europe
ID_126,865,43.49,-30.066424,164.527114,-87.239933,157.377515,Low,500,5,0.2,Small Van,946,17.34,Mountainous,0.2,241,1.0,2025-03-24 00:25:42,True,Medium,Fragile,0.0,Snow,Asia
